H;07536553000102    ;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;BRAVECTO TRANSDERMAL CAES 112,5MG 2 - 4,5kg                 ;202010200         ;MSD BRAVECTO TRANSDERMAL                                    ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184186119     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;1;OTOMAX LIQUIDO 12,5 G                                       ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184173270     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;FLOTRIL COMP 150 MG 10COMP                                  ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971357     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;OPTIMMUNE POMADA OFTAL 3,5 G                                ;202010400         ;MSD FARMA                                                   ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185971166     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;6;ZUPREVO 50 ML                                               ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;8713184135063     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;DALMARELIN 20 ML (I)                                        ;202020101         ;MSD TECNICA                                                 ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370105697     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;SOLUTION L. A. 3,5% 50 ML                                   ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185913500     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;3;PANACOXX  1L                                                ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185959041     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;9;TICK GARD POUR ON 5 LTS                                     ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185902535     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;VALLEEVITA ADE INJETAVEL 50 ML VALLEE                       ;202020101         ;MSD TECNICA                                                 ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370107783     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;CHORULON 5000 UI                                            ;202020101         ;MSD TECNICA                                                 ;                  ;MSD                                                         ;                  ;                                                            ;E;7894442275392     ;Unidade             ;UN      ;1000           ;I;20230315
V;07954091000496    ;MERCK SHARP E DOHME SAUDE ANIMAL LTDA                       ;2;REVERIN PLUS L.A. 50 ML                                     ;202020102         ;MSD TECNICA ATACADO                                         ;                  ;MSD                                                         ;                  ;                                                            ;E;7896185901408     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;RANGER 500 ML VALLE IVERMECTINA (I)                         ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370100630     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000279    ;VALLEE S/A                                                  ;1;EXCELLER 500 ML VALLEE PROMO. KET C/18 FR (I)               ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370107561     ;Unidade             ;UN      ;1000           ;I;20230315
V;20557161000350    ;VALLEE S.A.                                                 ;1;QUINOTRIL 50 ML VALLEE (I)                                  ;202020201         ;MSD COMERCIAL                                               ;                  ;VALLEE                                                      ;                  ;                                                            ;E;7896370104348     ;Unidade             ;UN      ;1000           ;I;20230315
